,gmrt_in_air1,gmrt_on_paper1,max_x_extension1,max_y_extension1,paper_time1,pressure_mean1,pressure_var1,total_time1,air_time2,gmrt_in_air2,max_x_extension2,max_y_extension2,pressure_mean2,pressure_var2,total_time2,gmrt_in_air3,max_x_extension3,max_y_extension3,paper_time3,pressure_mean3,pressure_var3,total_time3,gmrt_in_air4,max_x_extension4,max_y_extension4,paper_time4,pressure_mean4,pressure_var4,total_time4,air_time5,gmrt_in_air5,max_x_extension5,max_y_extension5,pressure_mean5,pressure_var5,total_time5,gmrt_in_air6,max_x_extension6,max_y_extension6,paper_time6,pressure_mean6,pressure_var6,total_time6,gmrt_in_air7,gmrt_on_paper7,max_x_extension7,max_y_extension7,paper_time7,pressure_mean7,pressure_var7,total_time7,gmrt_in_air8,max_x_extension8,max_y_extension8,paper_time8,pressure_mean8,pressure_var8,total_time8,gmrt_in_air9,max_x_extension9,max_y_extension9,paper_time9,pressure_mean9,pressure_var9,total_time9,air_time10,gmrt_in_air10,gmrt_on_paper10,max_x_extension10,max_y_extension10,pressure_mean10,pressure_var10,total_time10,gmrt_in_air11,max_x_extension11,max_y_extension11,paper_time11,pressure_mean11,pressure_var11,total_time11,gmrt_in_air12,max_x_extension12,max_y_extension12,paper_time12,pressure_mean12,pressure_var12,total_time12,gmrt_in_air13,max_x_extension13,max_y_extension13,paper_time13,pressure_mean13,pressure_var13,total_time13,gmrt_in_air14,max_x_extension14,max_y_extension14,paper_time14,pressure_mean14,pressure_var14,total_time14,air_time15,gmrt_in_air15,max_x_extension15,max_y_extension15,pressure_mean15,pressure_var15,total_time15,air_time16,gmrt_in_air16,max_x_extension16,max_y_extension16,pressure_mean16,pressure_var16,total_time16,air_time17,gmrt_in_air17,max_x_extension17,max_y_extension17,pressure_mean17,pressure_var17,total_time17,air_time18,gmrt_in_air18,max_x_extension18,max_y_extension18,pressure_mean18,pressure_var18,total_time18,max_x_extension19,max_y_extension19,paper_time19,pressure_mean19,pressure_var19,total_time19,air_time20,gmrt_in_air20,max_x_extension20,max_y_extension20,pressure_mean20,pressure_var20,total_time20,air_time21,gmrt_in_air21,max_x_extension21,max_y_extension21,pressure_mean21,pressure_var21,total_time21,max_x_extension22,max_y_extension22,paper_time22,pressure_mean22,pressure_var22,total_time22,air_time23,gmrt_in_air23,max_x_extension23,max_y_extension23,pressure_mean23,pressure_var23,total_time23,max_x_extension24,max_y_extension24,paper_time24,pressure_mean24,pressure_var24,total_time24,air_time25,max_x_extension25,max_y_extension25,pressure_mean25,pressure_var25,total_time25,class
118,557.9982221,221.3968478,1697,6343,3160,1738.351266,73125.21838,3700,6150,44.86298778,640,4789,2023.116697,20933.46035,8935,61.07584387,4251,592,4910,1891.779022,62783.5306,5625,87.10463317,4218,4357,13480,2040.848294,6359.237742,14340,11920,43.22312975,2412,2609,1850.001195,61999.23333,49570,118.7124856,2067,4237,2680,1661.197761,185019.2557,12940,153.7859194,311.654193,12811,974,2830,1855.657244,143167.1935,19455,271.0596509,941,2800,2415,1990.031056,61154.67605,3045,209.958036,829,2451,7185,2025.92206,14139.1338,8230,1820,121.7466966,155.4777005,1312,2715,1894.187259,119428.4109,4410,122.0622415,1151,2518,2725,1754.445872,153183.9388,10865,377.2491736,683,5054,4365,1954.304696,112754.1225,5110,88.19460044,391,3083,4140,1893.544686,149170.3277,7760,224.6978377,7556,3809,8085,1854.042053,163197.506,18825,8000,254.6148391,1561,4669,1947.208247,107466.4102,12850,2770,108.329124,626,2670,1978.709486,77226.72785,5300,43530,94.88029844,11344,13113,1719.296435,201765.7208,59520,1145,416.8885245,1168,3082,2018.359413,37603.23757,3190,7123,10731,20620,1950.13676,89113.42553,45395,2985,173.1457178,1477,12490,1995.225592,50269.38624,9745,3425,477.9591835,9549,15548,2036.346471,12967.02811,35520,908,5970,3585,1922.88424,118231.7342,6980,2450,225.8531506,1485,8391,1912.208517,129527.607,5855,3097,2730,11420,1886.308231,181080.6747,35845,23530,8647,14758,1942.588003,97106.70791,55120,0
142,254.9988476,169.725972,1476,7247,4070,1874.603194,149316.2836,5870,6175,48.23997203,257,4675,2014.276582,30647.4734,13840,523.7100548,5139,1089,8675,1818.680115,223916.6775,10845,180.1528362,4234,4253,26065,2022.602532,27276.88058,27385,630,87.70404675,2424,2617,2029.724544,17822.66463,13790,134.7438233,1150,3492,1725,1916.773913,118271.288,3220,183.6140577,272.3507087,12383,785,2970,1795.888889,207309.8025,10480,357.3494853,1677,3361,1810,1985.30663,52624.31758,5785,169.6085433,1443,2667,3145,1998.535771,63915.32344,4070,1475,101.6595496,167.3439987,1417,2180,1871.004878,159385.361,3525,147.3820263,1267,1959,1965,1893.743003,143916.8678,8645,202.516449,559,4028,3485,1909.302726,150511.6917,4605,187.0279144,450,3610,2655,1863.370998,196925.2013,3770,132.8795566,1578,10421,7255,1907.510682,145731.0066,14665,18345,74.35312944,1537,5101,1571.819028,329180.9259,23180,15620,296.3879701,12094,13347,1727.151221,225450.2152,28515,24050,229.1928381,11808,12796,1837.594664,142927.9826,39605,1825,56.07794838,996,2482,1693.365333,285249.7305,3700,6933,10569,23005,1618.467072,231771.6895,57830,8950,85.57993412,862,11788,1736.757258,207811.4177,15150,1580,1041.423535,9345,15937,2043.214506,3942.189704,30810,1129,6798,3785,1792.02642,208965.1301,7820,2765,146.8675133,985,7581,1794.031977,211693.4728,6205,4079,4938,8035,1657.914126,288826.824,41245,33605,7362,14391,1674.497878,224182.6856,61885,0
163,354.5181565,289.4140546,1831,9729,4130,1758.669492,159671.5191,6870,14230,320.3406442,6806,7373,1890.389223,185139.6369,30840,46.18192455,3895,147,9815,2032.250637,19237.21278,10400,59.56007065,4541,4837,18840,2011.501858,46748.46443,20165,665,123.8936226,2723,2565,2032.495545,17908.3145,16940,277.1164402,1848,5101,2580,1818.782946,164264.4529,5235,258.5629148,253.2310847,12998,1490,3715,1844.370121,150465.9128,9560,1343.063582,2561,5203,2690,1970.732342,33916.68301,2930,153.79819,2052,5895,4830,1915.550725,101084.1998,7920,2410,173.0776164,200.7513766,2191,3709,1880.550882,127012.4292,6095,71.86830601,2494,3699,4510,1800.668514,223038.5099,8790,128.1198515,448,3876,4705,1026.164718,112386.8602,7850,280.9954922,724,7533,6245,1970.63731,88609.5522,7975,231.9214441,6471,6675,10785,1810.236439,192224.4578,21705,14450,176.3700092,1975,6582,1636.035211,228781.8509,20840,13005,51.45155369,1046,2912,1769.456335,263310.1915,17070,45270,130.7330814,11835,14154,1100.401883,203402.7241,65985,845,336.7323704,1851,4320,1784.398417,146211.3742,2740,7278,11167,25825,1688.191675,260096.7826,84530,14600,182.5414018,1507,14671,1841.555556,161091.1545,27470,34705,246.7296396,9392,15451,1061.242577,102469.5189,107280,1918,7951,5600,1678.819643,174562.4014,11550,8440,117.9656762,1314,7292,1759.447445,215165.545,15290,4546,5000,15395,1761.810653,203526.4932,33900,69645,10069,17587,1648.218997,219329.4701,124760,0
38,261.1666469,147.3342928,2099,3936,4420,1483.256787,102763.3854,7055,6505,281.0775033,728,4954,1720.602747,102838.7125,16335,201.922133,4774,437,6545,1776.889228,118835.1802,7180,93.55227882,4033,4255,20030,1787.395906,40910.17925,20605,1245,107.5121497,3986,3463,2014.034582,43212.19861,22065,183.6609777,1861,5744,2100,1107.685714,93022.82503,11455,213.7659297,108.4410304,10784,4908,9905,1881.178698,170497.2866,31060,172.4055521,1499,2200,2420,999.5454545,58429.31818,3580,163.9781175,3287,12586,11475,1684.650109,240472.5342,47755,2930,80.71182975,138.7742374,1481,2326,1286.884494,251155.618,6090,85.66210122,1644,2004,2535,1473.278107,167242.8398,6280,221.9075201,597,3051,6055,1973.798514,71940.84793,7700,168.0241894,492,3938,3345,1540.841555,124661.4577,5355,219.2369183,2432,15055,9450,1825.979894,122299.1678,16360,72865,125.0871556,3263,8216,1759.168098,290104.0196,99070,17995,158.3440321,977,6728,1667.794991,371894.4054,34165,8800,409.0708364,12262,13480,1495.765731,212034.4388,24295,1095,260.2841875,810,3415,1965.306494,84939.52684,3020,6987,7205,29135,1408.916938,143394.7111,97875,3690,201.3782436,1132,11044,1225.330852,220766.0196,9735,13890,294.1163132,9595,15091,2009.500708,37754.24276,45675,1033,5183,3435,1878.346434,147838.733,7845,7385,144.0811038,1194,9037,1827.065421,182517.945,14875,4600,4269,14705,1536.066984,276901.53,40465,22835,5708,13739,1491.778917,235001.2465,50155,1
139,396.2259285,153.4973102,1628,7466,4955,1851.638749,171414.1339,7930,1220,248.6043977,210,4971,2014.082014,31042.44651,4695,810.6672393,4546,541,4575,1896.114754,164690.4797,5505,52.42020282,4260,4301,19460,2037.517472,11026.77899,20020,1000,126.9498792,2598,2624,2023.84174,24992.48768,11805,159.5332213,1429,5858,2085,1797.326139,147970.944,5440,509.81578,664.1157039,13111,1657,1765,1761.600567,165900.8348,3845,189.5025539,1180,4051,1385,1903.891697,125156.2987,2675,134.4612113,1494,5043,2975,1887.857143,145821.5342,5600,1255,163.3838732,217.2616686,1693,2978,1790.819407,155113.0213,3110,186.7354095,1758,2707,1715,1844.699708,116659.3705,2490,485.4622803,1258,8230,4895,1991.59142,55091.28556,6415,299.2617439,673,5357,2690,1970.715613,59414.75741,3470,440.4641501,5389,5294,5280,1909.412879,107125.3523,7690,6085,220.7998276,2541,4849,1775.802158,139777.8242,8865,640,196.0289938,870,2586,1678.916357,361321.2477,3330,1900,246.6785771,1093,2926,1694.989324,197426.039,3305,340,458.6810095,1604,3269,1871.984277,84830.95887,1930,6906,10956,16980,1708.05212,215422.3115,44830,2280,257.0218105,1999,14046,1808.734605,155188.4673,8045,1590,1041.747979,9511,15702,2023.644116,11900.24896,15780,1239,6469,3540,1734.829096,185625.1869,5865,2510,259.6537276,1066,8371,1782.427778,140623.647,7010,9801,10210,11155,1825.060959,165061.4521,26730,10280,9406,17411,1718.044086,142453.2145,37840,0
104,626.6091399,865.2105219,5104,8977,2090,1642.684211,147467.8907,2490,5305,191.7098548,787,4707,2004.001704,46614.46167,11175,44.01341478,4675,470,3760,1785.910904,58914.58382,4115,81.66098837,4076,4312,23200,2031.193534,18486.42591,24180,2690,168.1525234,2616,2502,1957.847744,65087.50228,31950,285.7056019,1476,3650,2925,1278.969231,205613.2914,5865,254.9153829,288.3079582,12792,632,3485,1534.13056,179955.4277,11150,326.0219597,1547,4278,2435,1992.437372,41368.87441,3345,224.2144154,1105,3173,7905,1679.615433,62622.48462,8610,1285,118.689056,149.7935932,1804,1968,1313.455056,146186.1019,3955,92.22749638,1954,1781,2685,1405.795158,199230.3975,3970,102.0705163,550,3231,3375,1150.754074,142373.8892,6210,125.2822454,562,3381,3595,1423.331015,178236.953,5390,158.9926463,1806,9115,6820,1307.704545,152157.3841,10140,21160,112.9338835,1229,3589,1228.994667,400116.0842,30535,3910,80.46429552,511,1476,1294.669875,410732.4829,9105,12285,355.0121938,12399,12273,1246.227304,173531.6302,26605,2540,139.8676657,1495,3436,1690.042316,161982.7889,4785,7249,10623,30030,1487.667166,225707.5884,84675,5390,157.2893183,1655,13935,1479.70964,161001.7601,14000,12090,317.58226,9353,15771,1960.16058,87197.85871,60010,1362,6790,6170,1537.915721,281132.6542,10115,4675,198.4195345,1181,8336,1503.14381,248975.2793,9925,9331,9354,16285,1554.219834,251817.143,39970,24945,8711,16815,1425.089326,165224.0886,66590,0
67,140.5271467,299.5850465,2085,6154,4370,1343.689931,189897.7448,8470,2850,328.6252087,524,4774,1304.38713,117897.5488,7745,339.2965754,4252,627,6115,1291.524121,86110.48654,7745,103.355918,4434,4529,19760,1966.883856,40419.14415,20515,1830,54.08909093,2619,2423,1781.361891,340361.9835,30485,119.571198,2534,3644,5140,1068.460117,130222.6414,29160,156.7069096,85.35462156,12988,3930,23270,1099.413838,518928.4351,37960,136.5370589,1154,2004,3295,1741.754173,43388.27644,4445,282.0545703,3858,11886,12420,1870.871176,163103.4053,24570,1620,441.1788875,726.5772074,10469,7747,1864.984152,110017.1408,4775,214.3493175,3444,12572,2960,1845.584459,135578.6517,6465,202.8270619,1661,6722,3470,1864.053314,96724.6643,5105,990.8654488,2260,10638,5960,1956.574664,100359.2427,14580,245.4296614,5463,6821,9545,1738.756417,194580.9658,64780,335890,64.97218679,4790,15758,1610.752883,307875.72,369275,3895,93.62157435,1260,3891,1788.1639,133427.8673,6305,9655,361.2431995,12667,13707,1775.367089,153963.3819,32960,1155,352.1274751,1888,4833,1862.202505,93925.6187,3550,7342,10539,25625,1925.246829,98712.68737,61950,17945,94.17798528,1870,12635,1260.504794,174951.3289,35675,7175,636.0188016,9385,15575,1894.731459,77302.72683,35625,807,5206,4715,1864.063627,134211.1179,8154,10935,99.67837767,1217,6977,1686.610183,173750.8266,17220,5852,6985,14825,1576.993592,309784.6505,50285,82175,8867,16377,1852.897003,159429.7797,117710,1
147,255.3689116,222.6826728,2397,7306,3675,1614.616327,158536.3888,5440,1005,124.1944373,629,4750,2001.337602,46354.97101,5300,76.46709015,3953,248,7550,2010.366225,37316.36853,8450,368.4585048,4158,4260,19865,2032.058898,17061.80021,20715,820,255.0106374,2426,2350,2029.505102,19262.84351,12580,225.482427,2483,4959,1750,1877.377143,156965.2806,3560,361.5507742,533.231688,12846,1019,1915,1798.986945,182534.7753,6045,538.3458109,1938,3626,4925,2030.350254,17461.28951,5345,582.9875511,1905,5899,3950,2030.465823,16835.63364,4465,1020,233.3896544,305.0192563,2674,3743,1948.934579,92623.05179,3695,203.2392163,2951,3886,2425,1893.954639,107307.3258,571545,207.0958289,1278,3900,2275,1743.386813,207873.4328,7545,266.54017,935,5648,2745,1935.992714,95752.83419,4315,442.8156956,6876,5796,7775,1929.049518,111777.5094,11275,5805,156.4866206,2668,6036,1930.204194,96690.33468,10335,1125,152.2692044,967,3477,1887.212219,111949.7363,2680,13165,302.2440144,11891,13654,1887.171687,120149.0648,24785,67295,138.0891082,7179,10225,1652.168231,269934.7988,94995,14816,10730,26285,1681.212098,245715.3693,79755,2965,284.7976034,2078,13254,1912.561039,98267.14671,8740,1940,571.8657621,9185,15779,2041.930178,6667.071663,48845,1525,5454,3720,1879.237903,130500.1464,6170,2335,285.6263216,1562,7952,1884.856946,118390.0511,5970,7867,10311,12365,1900.251921,142199.0514,36235,18545,8036,14893,1869.568161,141026.8594,46310,0
2,229.9339973,172.7618583,2333,5802,6080,1520.253289,120845.8717,8680,560,122.8095843,322,5059,1948.3178,48577.01894,7105,82.56239194,4645,266,5110,1814.446184,76556.47998,5530,107.3481862,3960,4013,17770,1842.092009,101793.3677,18800,680,101.6284101,2556,2245,1992.745916,20179.47241,12310,156.5122888,2111,4385,2290,1226.744541,129706.0636,5345,273.9085787,366.3688056,12620,677,2665,1587.56848,203046.5718,5965,936.4647205,1598,2323,4055,1834.902589,42796.46523,7995,299.5461063,1736,4187,6345,1811.951143,35086.33489,6970,505,201.9967387,123.4186679,1779,2096,1550.052632,97088.4741,3640,210.4977709,1752,1868,2975,1599.717647,189210.1522,3645,209.4570251,481,3380,5170,1560.658607,34583.73548,6360,314.0143573,806,3730,4550,1853.78022,180637.9319,6960,229.4767189,2109,6584,5250,1407.159048,115674.7433,9925,22345,219.2763071,3106,4276,1717.3163,173772.7572,33695,3265,255.3670511,0,0,0.0,0.0,3265,27640,355.4280376,12885,13413,1627.26424,205307.2008,50990,525,167.8123043,1250,2906,1840.95,113069.7618,2625,7143,10158,28785,1611.954316,193490.8166,94420,4655,124.7198502,1574,11819,1564.901912,153318.4759,12760,1135,703.1554978,9702,16771,1954.565521,54854.49989,34025,1198,5111,5505,1680.804723,222939.0745,12930,7330,117.7653038,1338,8208,1599.237184,264722.8435,13865,3798,4213,34735,1269.215777,343051.6317,103095,33545,7688,14127,1431.443492,144411.7055,79025,1
98,241.4641104,143.9916358,1557,6218,4785,1736.77325,95496.29655,8375,550,107.7400676,539,4798,1823.264664,91837.36486,4045,73.98789609,4708,786,3900,1869.928205,138678.241,4230,87.43769815,4134,4264,19675,2035.263278,12874.09536,20525,2050,73.98448018,2040,1876,1928.73913,86114.25803,6650,241.5207866,2910,5002,1460,1703.619863,184418.0302,3730,378.6672474,627.5701751,13234,1095,1515,1832.561056,114572.4773,4365,202.0932983,1196,2287,2255,2016.747228,28539.65673,3170,619.3960475,2009,4869,4060,1872.454433,29065.00408,4390,505,169.7500518,344.6258832,3370,3233,1799.225,145250.9633,2305,210.5497209,2896,3645,1625,1931.812308,79637.80785,2320,1180.779388,1369,6806,2525,1836.413861,33592.24654,2785,685.4043646,811,7028,2585,1910.740812,43107.36802,2975,252.2429684,7223,4387,4850,1773.987629,142670.7978,8565,4545,72.85567538,1049,3687,1375.348028,435098.6724,6700,1370,98.85785398,634,2099,1510.347107,344031.2184,2580,9385,611.1817708,12197,13773,1747.591941,131993.1698,20180,425,577.6487612,1058,2474,1588.901639,284322.5586,1340,6998,10402,9650,1602.992228,237689.2803,27795,1985,243.4613996,1601,12101,1710.643258,181440.5975,5545,4520,253.394722,9533,15537,1856.703038,90935.97496,35955,908,5202,2250,1373.768889,249459.2666,6825,5225,102.7811377,1027,5472,1534.374737,288844.4701,7600,5104,5866,7280,1669.267857,259733.2181,22015,14050,5224,14191,1523.603892,231407.7722,29980,0
160,28.73451524,103.8944597,981,5830,5595,1385.023235,122164.0263,28115,3530,329.0011167,638,4589,1492.064677,206804.5912,9560,397.1375111,4544,850,7985,1543.795867,234129.9671,12020,222.3591133,4132,4281,25660,1960.315861,47425.34626,27155,7010,91.49178649,2463,2476,1927.026813,73451.50515,26590,339.7531553,2540,4348,2645,1810.357278,141180.5964,5220,295.9826322,448.7365393,13657,1205,2750,1669.592727,151291.8487,7455,465.1161998,1284,3363,2350,1992.459574,61920.61858,2770,443.9768428,2235,4934,6135,1963.496333,30892.86449,6755,2110,131.3231118,229.6896885,2104,3321,1586.191111,138641.1857,4360,225.7229027,2894,3874,2615,1669.839388,177938.391,8810,190.7692411,1083,7910,6990,1707.114449,264192.7508,13445,194.5429689,1110,5470,3560,1881.332865,108604.8822,5385,295.8066147,2767,14032,6895,1819.495286,136355.9106,10420,5160,151.0550732,2669,5799,1744.364407,206244.1149,10470,1870,118.7509915,999,3622,1759.716418,163238.2977,3880,27030,156.8518325,11737,15034,1751.742869,286063.4684,51220,650,346.595773,1716,3520,1825.133333,140105.2797,2600,7318,10407,22995,1875.372255,137295.2069,369025,4895,193.8718495,2128,12851,1787.946278,131057.845,12620,5825,261.5665706,9790,15836,2025.779255,29458.89165,64105,1376,7024,5340,1767.983146,163727.2038,10970,2510,231.9732316,1102,7839,1742.566038,157706.0213,7280,6931,7113,16285,1740.394842,163876.1493,43175,28080,9195,16834,1765.580649,179098.5221,69215,0
148,227.8903895,180.3870391,1682,7775,4855,1767.705458,164651.3262,13240,685,70.25320938,326,5147,2031.515288,16754.89365,6245,280.0452718,4365,453,3860,1992.151554,48900.40061,7945,70.91864566,4224,4306,40895,2041.058565,6592.346858,45420,2885,47.58907261,2499,2512,2040.369041,7577.038063,30890,337.1695504,1318,3569,1225,1850.771429,120786.3151,6910,307.2694755,642.432702,12463,1217,1385,1867.180505,107120.7905,4300,417.2893563,3110,3976,6735,1994.114328,67095.99584,7715,147.8829955,1151,2733,3695,1986.573748,68273.7926,4520,5330,127.0577032,266.3432924,2231,2778,1891.456091,119268.6787,7095,147.3032382,2141,2427,1675,1880.832836,106021.5243,3155,532.4452084,989,5030,7560,2038.882937,8453.570291,7945,133.8405934,1054,3564,2095,1901.317422,103861.83,3585,263.9438374,5146,3740,5260,1911.562738,87863.12249,9230,9765,44.3641207,1971,4006,1802.720145,228840.479,13910,1630,96.08593799,718,2576,1799.21831,279345.3256,3050,18625,282.6502735,11834,13484,1766.599414,242576.6594,35700,1325,359.6437909,2349,4711,1793.945534,234074.082,3620,6776,10679,22520,1833.53841,170200.7405,59910,4010,125.6899445,1572,11608,1921.282955,100391.9023,9965,3785,908.375992,8763,15423,2031.151086,15690.13397,44060,820,5078,4030,1908.421836,117059.2563,9315,4085,115.5436478,871,6666,1877.764302,134297.084,8455,2842,2614,20455,1824.944757,199761.0334,65265,31410,7137,13215,1829.097294,123997.0385,62450,0
75,355.2693207,115.94647,816,4211,3805,1961.721419,25886.97364,4490,380,50.82521469,823,4913,2022.281673,26424.49016,4445,312.1624312,4215,1663,3565,1689.402525,196512.1227,7710,148.6537399,4465,4422,8135,2029.194222,16903.60088,8995,675,185.3945259,2550,2642,2035.794543,10660.84061,10020,298.8446778,1747,4876,2065,1923.360775,101676.7875,3615,156.6135034,170.2087803,12740,1190,7880,1737.533629,180111.655,16925,603.0127512,2522,4944,4420,2023.158371,23863.33238,4765,67.36360667,1002,2372,3770,1989.267905,51045.7452,5425,700,234.7123543,181.2169991,1297,2653,1927.331096,115642.9239,2935,200.5685626,1093,2307,2190,1933.378995,100240.6783,3330,131.2731266,849,4192,12070,1880.161558,232059.901,23005,183.2116393,443,4150,4685,1846.922092,167095.2543,7155,320.8788705,4380,3615,5890,1955.701188,83920.75112,11105,13845,125.2907917,1297,2485,1634.320475,346991.0902,17215,6095,162.3046815,692,2696,1857.41319,198000.9612,9810,22175,239.6829349,11391,12570,1752.635448,121445.43,37070,2585,91.15623595,1089,3321,1958.3525,90327.29324,4585,7342,10539,25625,1925.246829,98712.68737,61950,25665,267.6916993,4039,14670,1956.200818,93557.05497,42770,19340,163.7695459,2127,10432,1912.52586,102907.1475,41285,897,5657,5040,1874.996032,138320.3849,7810,3105,243.2220925,1668,9854,1855.196706,152874.2916,8570,11482,10648,22820,1924.646582,113734.1531,115830,93275,6600,15305,1897.695371,112987.2671,131190,1
108,413.5549276,219.6369911,1692,9074,6040,1639.538079,91469.22372,7795,1320,97.90651444,610,7172,2027.385935,20282.44196,12980,160.7793673,4313,562,6405,1952.520687,42020.65082,6950,153.8873208,4281,4260,27675,1973.473713,50935.75211,34325,510,119.3550157,2596,2587,2036.239481,12056.90102,11680,369.6315802,1380,4762,3030,1956.430693,73109.93827,6500,223.2422342,285.8632073,13175,1001,3585,1934.470014,115313.8781,8160,213.0993569,1240,3444,1790,2001.555866,52202.62677,3480,655.367219,1985,6291,7865,2028.639542,15554.58399,8340,2390,148.3957988,187.6346692,2402,4957,1831.731001,179592.3679,6535,141.8409564,2462,4709,3830,1883.663185,154769.7534,5930,470.0903548,680,4363,2755,1993.475499,59394.47082,3140,330.0272441,769,6363,5510,1964.145191,80038.05877,6415,227.9245991,5537,5002,8120,1839.002463,169253.3965,15870,6730,113.9976142,1519,4453,1243.528817,230944.2492,11675,5035,113.9546368,789,2989,1409.811224,268800.4695,7975,14939,283.0722505,12371,14610,1728.449549,194861.6659,32134,870,206.9143977,1075,2513,1663.651261,126267.4498,3250,5126,10327,20140,1398.983615,148653.5916,66105,4215,195.9932404,1737,12697,1423.08089,161873.589,13425,4855,253.5211022,9338,15012,1855.903011,73897.20129,51510,1050,6100,5660,1361.381625,149527.9356,10795,5200,157.2120029,791,6454,1357.921311,221189.002,11300,5513,7075,31495,1461.469757,214110.4555,112830,353390,5787,17126,1275.107241,196117.5464,400760,0
26,139.7059851,179.7768315,1777,6415,2915,1854.830189,135388.5012,6280,7180,319.2638506,404,5502,1942.640333,111629.7119,14395,652.1181515,4908,786,3835,1883.211213,108318.37,5905,113.6336535,7007,6919,17815,1993.386472,47572.66765,19830,875,92.89463935,2509,2506,2025.19324,26286.15231,17590,205.4541898,2511,4012,2895,1764.283247,303671.8645,11165,274.2194238,687.8572327,13742,1811,1770,1996.415254,43211.07898,4800,159.8417824,1822,3034,2230,2002.098655,25331.90507,5310,67.94882837,1149,5565,7330,739.8792633,36879.04886,19755,3645,62.66081517,92.17665195,1275,1587,631.4837545,63337.32194,6415,84.41971655,1336,1669,2595,687.7957611,46437.53825,5650,248.5977719,642,4524,5220,1923.90613,119042.6693,6245,87.56051069,296,2541,3895,690.5186136,35264.67327,7675,211.9155423,4806,4948,23310,1809.535822,150086.0394,49185,9535,207.0479429,1273,4147,1539.186352,294661.1,15250,3395,264.0861484,449,2137,1662.042084,277008.7698,5890,14135,254.911972,11833,13912,1647.636526,202147.7685,30945,1000,162.4642632,877,2733,1847.569519,159554.0527,2870,7477,10682,23610,1537.182762,187106.7008,101485,16280,108.9482034,1803,13885,1729.584638,280331.2861,29690,2925,368.3075053,9857,16408,912.3311832,130854.968,59510,837,4871,8055,1368.912477,167521.6702,22400,26505,122.3796215,1337,11032,1659.580262,231049.8137,46720,6145,5901,18675,699.8645248,219145.4194,129120,164710,7367,16477,1632.469098,352981.85,238895,1
150,875.811029,278.5428885,2224,4606,2790,1814.958781,166438.0754,2855,760,56.65590781,446,4476,1898.281794,155255.0217,8230,236.5803326,4307,758,7635,1762.546169,128516.7783,11480,196.8284527,4259,4231,13055,2007.808119,52597.56831,13930,790,83.82448921,2368,2201,2026.397313,21070.73082,8605,196.318702,3708,12119,2765,1881.837251,148664.4147,9140,282.4561058,400.9795739,13748,1335,3265,1763.7366,239592.0103,7680,264.2719926,984,3106,1465,1940.631399,124771.0655,1995,564.5734706,2650,4953,5800,2039.196552,6887.349298,9195,1965,301.4510463,630.7362767,5154,5911,1925.363192,107019.5244,5035,249.7568726,4778,6117,2905,1861.327022,189729.0153,7195,303.8214261,774,5447,5915,1989.874894,59003.61072,6965,289.0940923,1769,10323,3550,1847.792958,144192.7923,5215,304.2084294,9701,7755,9440,1841.427966,161074.3772,19410,8385,127.7932226,3255,6628,1767.602374,235772.106,15125,2930,198.5954156,2232,4361,1635.064159,316088.091,5190,14275,302.4067005,11569,14307,1826.340881,202574.5641,34810,575,448.3067828,1122,2771,2015.398792,19420.02828,2230,6930,11097,19195,1981.520709,62586.37669,44685,5785,131.0804807,2161,13131,1774.727018,196766.3588,14705,8975,413.9864565,9047,15372,1846.607411,100077.136,51615,1967,7307,5455,1743.232814,219651.5077,10710,11980,211.2724251,2529,9444,1677.32841,238944.9799,17735,4971,5443,11665,1799.124732,246534.6158,37535,47500,10128,17037,1782.381006,210949.7093,87250,0
90,289.2272123,153.0218284,1345,6167,4035,1901.596035,106475.8988,5650,1240,29.86742381,144,4848,1983.370652,24010.48544,10440,135.0274921,4846,313,2945,1657.926995,123978.5532,3335,164.2895312,4515,4370,19525,1664.06274,394899.3991,22345,590,75.59017052,2460,2432,2028.815481,22514.45424,12540,160.9476605,1238,4343,7000,1747.244286,226124.486,12945,190.2153911,138.3346417,12696,992,5815,1618.574377,203756.1705,16265,136.7882981,1378,2669,7760,1780.096649,71267.48937,8975,94.34133113,1844,4165,10990,1892.517288,72484.74288,16300,4595,86.81209215,137.7257999,2006,2410,1507.589138,170891.8902,8830,93.76744626,1880,2338,4640,1605.426724,245997.0959,7775,172.5764543,801,5584,8225,1790.150152,95095.60846,10545,136.909855,496,4995,7790,1753.069961,130989.1074,10765,152.9484115,4392,3782,13365,1397.780771,190494.0664,22800,8945,88.49747507,1510,4468,1735.134347,237749.1759,12890,2175,160.4971922,1004,3303,1701.825658,176569.9203,3695,12180,337.806043,11984,14275,1724.699465,152148.1593,27120,4015,121.855097,1301,3299,1472.654088,119697.8803,5605,7085,10747,13815,1799.493666,153224.6256,43725,4110,162.2981854,1296,10977,1858.245225,123238.9674,10655,2315,513.3013201,9170,15518,2025.274721,25024.14405,29670,1077,5858,3780,1699.78836,200732.7383,7175,3735,136.4693698,930,6042,1801.472114,189626.9989,7590,1973,1777,13885,1753.57148,228283.0321,37810,41345,4726,14571,1564.26031,188501.0593,75900,0
