,minHBint2,VR3_Dt,ECCEN,VR2_Dt,ATS7s,ATS7v,ATS7i,ATS7m,ATS7e,VABC,ATS4e,ATS4m,ATS4i,ATS4s,ATS8e,MDEC-22,ATS8s,ATS8v,SP-0,ATSC8v,ATSC8s,ATSC8m,ATSC8i,SpAD_Dt,AATS8m,AATS8v,VE3_Dt,R_TpiPCTPC,VR2_DzZ,MDEC-33,VR2_Dzs,VR2_Dzp,ATS5e,VR2_D,ATS5m,ATS5s,ATS5v,SdO,fragC,SpDiam_Dt,AATS7v,SpAD_D,ATS1m,CrippenMR,AATS6v,maxaaN,SpDiam_Dzs,SpDiam_Dzp,SpDiam_Dzm,ATSC3v,ATSC3s,ATSC3m,ATSC3i,TPC,ATSC5s,minsOm,minsOH,AATS5v,ATS8i,ATS8m,BCUTw-1h,ATS8p,ATSC2v,ATSC2s,ATS4v,ATSC2m,ATSC2i,ATS3m,WPATH,SpAbs_Dzp,SpAbs_Dzs,ATSC1v,ATSC1i,ATSC1m,MPC9,SHBa,AATSC8v,AATSC8m,EE_Dt,minsF,ATSC0v,ATSC0m,ATSC0i,ATSC7s,ATSC7v,ATSC7i,ATSC7m,SpAD_DzZ,SpAD_Dzi,SpAD_Dzv,SpDiam_D,AATS1v,SsOH,SHBint10,ATS2v,ATS2s,ATS2i,MPC10,ATSC6s,ATSC6v,ATSC6i,ATSC6m,ATSC5v,naasC,VR3_D,VR1_D,VR1_Dt,AMR,ATSC5m,ATSC5i,ATS3v,ATS3s,ATS3e,ATS3i,SHBint9,SHBint8,SHBint2,SHBint7,SHBint6,SHBint5,SHBint4,ATS0s,ATS0v,ATS0i,ATS0m,nTRing,TIC1,TIC2,TIC3,TIC4,TIC5,ATSC4i,ATSC4m,ATSC4s,ATSC4v,MPC6,nAtomP,VR3_Dzs,MPC8,VR3_Dzp,VR3_Dzi,VR1_DzZ,VR1_Dzp,VR1_Dzs,VR1_Dzi,VR1_Dzm,VR1_Dze,AATSC7m,minHBa,ALogp2,SaaN,ATS1v,ATS1i,VR2_Dzv,ATS2m,ATS5i,mindO,TopoPSA,VE3_DzZ,VE3_Dzv,ATS6s,VE3_Dzs,VE3_Dzp,ATS6v,ATS6i,ATS6m,VE3_Dzi,ATS6e,VR1_Dzv,VE3_D,WTPT-1,Class
117,4.8978,26.2496,1374,17.6993,584.8643,23827.8863,17550.5762,9435.317,893.7,446.0484,1242.216,15992.5474,23542.4902,668.4198,823.2446,14.9899,302.0432,22665.7158,27.8108,64.0125,-37.5557,943.0313,-21.914,1243.7912,82.8582,209.8677,-140.5095,9.9538,12.1976,16.4023,32.8374,14.5195,1251.8476,12.9775,13736.3774,708.8272,31543.5599,78.1871,556.12,877.6515,212.749,601.2513,9667.6414,147.0043,207.9496,0.0,905.4116,393.0862,286.7603,-194.032,-29.3527,-144.2328,-18.6104,2126,-96.864,0.0,0.0,206.1671,16517.4329,8948.6877,31.9731,168.1936,-427.8765,66.8041,36214.5106,-147.0884,-2.5268,15501.2053,5858,502.7778,1096.8353,258.3347,0.1626,636.4662,344,89.0382,0.5927,8.7318,621.8956,0.0,2649.6367,2820.5585,97.6299,91.8645,-103.0858,43.0604,67.0754,367.84,453.9387,512.3925,472.3053,318.691,0.0,0.0,31608.5756,523.4383,15702.0609,352,-82.1163,9.1833,12.2392,-437.6675,-480.1661,8,25.0084,519.0986,707.9731,159.9536,-1275.4429,-15.7015,36377.1026,554.9136,1137.27,21451.2129,0.0,0.0,31.3416,28.4824,30.4714,1.9509,0.0,432.0989,15883.1365,9051.0873,8433.9639,15,181.6472,224.9502,280.2531,309.7629,319.7629,-43.8064,-1248.2509,-12.892,-851.357,224,40,28.7218,328,25.4575,25.3661,487.9048,580.7813,1313.4951,567.6585,487.8902,557.9556,0.5989,2.6777,0.8383,0.0,20396.2209,9125.5405,15.0466,13585.6396,24120.7689,12.2037,167.3,-139.1636,-135.3305,554.287,-36.3429,-141.1595,26201.6504,19954.5396,11100.7243,-140.7146,1025.58,601.8627,-139.9504,83.5555,1
100,5.027,54.7268,1084,111120.1557,359.1111,25100.0987,17637.7682,7977.3897,872.1043,421.0598,1194.5014,10198.9334,24182.3529,471.2222,878.7139,23.7885,364.1111,25063.9732,24.225,-424.6501,-30.5705,-582.0035,-5.5307,1141.9579,65.1481,216.0687,-123.9632,9.0352,111119.4466,18.9445,195.5949,111120.5024,1164.0486,111119.1884,8663.5443,462.5556,27872.0888,26.3806,504.04,816.0712,216.3802,495.1642,6545.3827,148.5679,192.8551,0.0,302.3988,377.1988,300.0571,-485.8165,4.0936,-66.8815,-31.6191,1788,1.3474,0.0,0.0,179.8199,17501.4621,7557.1818,15.9959,181.8103,-174.5806,8.8591,32747.2093,57.95,-5.9722,10804.3377,4345,477.6936,390.1261,265.6437,8.1701,95.55,282,32.525,-3.6608,-5.0173,570.979,0.0,3092.0233,1886.0868,88.095,-9.9298,724.4135,15.4455,416.0433,382.9059,372.3277,446.8109,383.2912,300.5189,0.0,0.0,30645.0086,335.5556,16367.3482,309,22.0095,1163.0086,75.4448,325.7551,-754.6416,8,54.7268,4000290.781,4000325.605,154.9408,-101.1679,-44.6355,34416.1984,435.7778,1144.3903,22906.2332,0.0,0.0,10.0539,0.0,12.3957,0.0,0.0,238.3889,15217.9606,9288.8257,5545.1655,15,182.2977,222.3556,269.6585,286.4134,292.4134,-32.7334,-664.1772,-9.4673,-1178.2823,185,32,31.8944,265,54.7268,54.7268,4000300.077,4000338.086,7041.4166,4000295.486,4000300.096,4000300.221,3.5866,3.0722,4.8921,0.0,19834.2469,9289.8951,111120.1806,9928.8912,24269.1602,13.1903,58.2,-124.2438,-122.2153,451.1389,-26.2783,-123.7028,24685.451,20386.5153,7999.53,-127.2618,979.8802,4000326.501,-120.8115,76.3293,1
75,0.0,29.02,1421,16.631,693.9444,39931.5062,35627.6161,13319.3151,1696.8354,536.2966,1610.8756,14040.5739,33430.5326,725.3889,1643.2287,20.8814,615.6667,39194.2871,30.5344,832.4904,30.8582,821.2285,0.4699,1297.6157,59.8888,180.6188,-13.1156,3.924,11.2902,19.9337,10.5978,13.7909,1581.7022,22.6367,13854.2464,656.9722,39649.353,40.6265,608.1,902.1209,181.5068,656.9584,8187.7125,160.818,200.8026,0.0,438.0712,561.0649,387.3391,-941.9849,-17.6031,-505.5947,-7.6367,2354,-14.9366,0.0,0.0,194.3596,35010.1306,12995.8786,19.0001,285.9144,-44.5201,6.5785,39375.0631,355.6193,-26.9318,13903.57,6953,750.8722,606.1768,51.992,2.6026,188.8591,398,58.2645,3.8364,3.7845,648.8078,13.9086,3680.1286,2590.784,140.4218,8.9799,-448.5635,8.8917,-378.0819,535.8079,515.6561,672.4932,472.3853,280.9563,0.0,0.0,34922.1805,436.8056,21895.4551,472,61.3316,-1067.4671,-44.0019,-205.8418,517.0411,6,30.3765,996.0137,731.7658,171.6429,324.4869,-6.4274,40005.1125,633.2778,1509.7125,30677.2912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.6667,17649.2721,12170.8035,7242.4977,9,272.3815,361.2812,419.387,435.6516,435.6516,9.1056,553.4666,49.6176,-54.7268,232,13,27.0373,349,28.1961,27.3025,496.77,606.8006,466.3027,495.2737,496.9567,496.7568,-1.7186,0.9266,4.738,0.0,22757.461,11820.6682,12.5467,12504.6544,32714.8353,13.1154,98.01,-10.0839,-5.4914,807.3889,-8.8001,-4.4727,40762.936,32258.1169,14834.8391,-12.3835,1597.034,552.0537,-12.4809,91.5759,0
42,0.0,20.4238,1141,8.083,385.7778,23862.3524,18409.5529,7473.3331,911.8765,411.3741,1122.8576,10348.8958,22307.8219,478.0,800.1792,17.5438,343.2778,20962.3626,24.8108,62.9512,-0.9058,110.3955,-0.0739,1377.8653,64.9507,199.6415,-2.9904,22.2889,11.3877,19.4624,10.6037,27.8756,1100.7924,17.0076,9833.4855,488.5,29226.8246,25.3081,421.05,911.9073,200.524,502.0478,6468.6802,144.4535,213.6986,4.9226,294.4017,393.0274,285.5291,-467.7407,9.3692,-0.6471,-23.5367,2036,33.4148,0.0,0.0,202.9641,16224.7311,6819.8252,15.9969,150.3786,396.5247,6.2398,31538.4468,343.0386,-2.5935,11174.6738,4366,491.6005,377.3879,92.51,-3.698,107.0991,377,30.6502,0.5995,1.0514,674.2551,0.0,2900.2,1837.6545,85.4052,-28.0375,-77.4565,9.3731,-385.2661,365.8854,367.5452,432.3705,386.8614,301.5115,0.0,0.0,28292.0305,342.7778,15271.1788,415,2.6549,-429.3258,2.2652,-246.0071,956.0983,4,23.1018,612.2726,290.9892,153.1279,614.7828,28.2283,32779.346,454.0,1019.5358,19732.9656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.3889,14948.667,8977.6474,5654.8373,18,181.6472,231.4404,284.7433,310.2531,320.2531,-31.7071,-588.4906,-24.9665,-878.7449,196,25,21.401,301,24.8806,21.5391,409.9561,1003.5216,381.7324,396.666,409.9207,410.1687,-3.2375,5.342,13.4784,9.8394,18995.2229,8820.9164,12.0992,9674.0637,22550.7065,12.5348,69.15,-2.4959,-2.3154,417.6667,-2.2401,-1.9276,26498.6287,18971.2773,8655.7871,-2.2809,949.3145,435.572,-4.0881,75.3567,0
2,0.0,66.8884,1568,90918.7748,533.4444,30830.0611,23024.8018,10475.546,1133.6289,477.7144,1283.3284,14494.5241,25257.414,683.4444,1131.1074,14.2961,508.2222,28011.1436,30.5344,412.3381,19.3467,635.8659,12.483,1633.9653,65.8097,189.2645,-159.1796,18.108,69.9429,22.2778,34.921,47.9895,1286.4956,90917.8013,12402.7024,644.4444,35183.2433,0.0,608.11,1179.4607,211.1648,703.8302,8002.8257,173.4028,223.4017,4.5429,369.7369,521.3956,374.759,11.196,-3.1644,265.4383,-55.6111,2254,-61.48,0.0,11.2259,217.1805,23873.7228,9739.83,15.9983,202.5134,336.0069,3.5956,37941.9943,516.8806,1.0587,14118.3403,7553,666.0324,479.2449,48.8462,-22.9175,53.852,352,22.4517,2.7861,4.2964,709.7827,0.0,2894.8085,1962.7361,115.6803,-46.04,-1314.2519,-47.0843,-1034.4328,481.8392,462.3629,604.0766,545.7266,301.8757,22.4517,0.0,31766.6102,403.6667,17131.6437,379,42.3067,-1017.1399,-2.8325,-291.699,303.8539,10,66.8884,4000383.257,4000426.093,174.3155,-1006.6575,38.7175,37152.7056,528.8889,1125.1896,21860.8054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.9444,17251.4255,10339.5476,7059.7538,13,250.175,284.2807,322.3345,333.9441,337.9441,1.737,-508.1299,12.4489,-1179.8982,250,42,32.284,340,33.6828,34.3893,3077.4871,2111.5396,1536.5256,2479.369,3081.1325,3104.3316,-7.0852,11.2259,4.2506,13.5697,21433.1759,10336.0642,56.0014,12087.9285,26159.0169,0.0,160.25,-27.6333,-24.9889,640.2222,-21.786,-23.193,33286.846,23199.1445,12046.1424,-25.4493,1164.2409,2464.0603,-154.7861,91.7413,0
95,0.0,29.02,1421,16.631,744.9444,37893.2224,33526.7763,13722.7634,1613.4553,513.8398,1464.7309,14079.1207,29848.035,733.3889,1530.2785,20.8814,708.6667,35987.9673,30.5344,1603.7699,46.5987,1411.0297,3.7799,1297.6157,68.5017,183.6121,-13.1156,3.924,11.2361,19.9337,10.6125,14.9688,1465.2618,22.6367,13937.2625,654.9722,38288.5482,40.4004,608.12,902.1209,184.845,656.9584,8282.9213,155.589,200.9166,0.0,427.2488,570.7182,385.4958,-344.79,-35.9174,-437.0109,-3.8153,2354,-24.5326,0.0,0.0,205.8524,32421.2633,13426.3327,19.0013,251.2979,-599.3695,9.9769,37163.6261,14.9507,-50.2034,14122.1609,6953,774.4201,588.6782,34.6029,1.4309,138.6439,398,85.0566,8.1825,7.1991,648.8078,13.5145,3176.6477,2476.9191,175.8639,1.6999,-628.1797,-22.8759,-219.0913,532.4524,511.995,678.241,472.3853,290.2621,0.0,0.0,33448.4981,468.8056,20144.7803,472,39.4512,-811.9953,-29.8341,-194.6198,-117.3834,6,30.3765,996.0137,731.7658,163.3345,-139.462,-23.8443,37867.3003,681.2778,1451.0764,29452.5887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.6667,16969.8239,11414.8168,7669.7517,9,257.2377,326.2631,384.3688,401.4882,405.4882,19.4144,60.7631,18.39,-91.9976,232,13,27.0434,349,28.5567,27.2795,494.39,658.6294,466.9498,492.6892,494.3275,494.5207,-1.0687,0.8676,1.2177,0.0,21769.6612,11040.7161,12.7097,12761.6183,29715.8714,13.064,98.01,-9.5835,-5.7253,839.3889,-8.1858,-5.1095,39580.5703,31735.332,15042.0072,-11.4754,1571.7212,559.2276,-12.4809,91.5759,1
112,4.9594,21.1826,1044,14.9365,453.2438,22302.6913,17755.0595,7731.3774,872.5727,410.341,1276.0562,10598.7005,25747.2848,542.8025,765.6348,25.0902,302.5216,20128.5887,23.2859,-438.0029,-35.4236,-427.4926,-3.8679,937.6026,63.0336,199.293,-4.9825,7.3752,14.6727,9.9123,8.0075,21.5783,1171.3646,14.6379,8770.4504,466.7716,26628.0508,39.7021,399.06,660.6695,195.6376,461.8177,7345.615,130.5887,185.5051,0.0,557.3272,327.6661,255.729,-796.6076,12.651,-605.9118,-43.5153,1496,-28.821,0.0,0.0,172.9094,15481.3469,6366.3922,31.9721,151.2681,11.4513,34.5629,31398.9137,306.9709,13.4475,11669.5533,3811,422.7489,669.5117,173.9131,-4.8316,523.1812,228,44.3906,-4.3367,-4.2326,468.8013,0.0,3030.8507,2466.4244,88.4325,60.5698,495.0775,27.2465,378.3542,328.2388,359.9744,414.964,360.2322,295.5666,0.0,0.0,28665.8539,374.0741,16338.9503,242,-5.6622,860.184,17.5548,668.0891,-111.1761,7,21.1139,497.6872,507.8402,145.8094,-154.3988,-0.4528,33094.8254,437.5725,1137.4121,22520.1825,0.0,0.0,4.9594,10.8387,0.0,0.0,0.0,272.3828,14337.061,9074.4294,6251.9206,11,190.8224,246.6376,300.2531,321.7629,327.7629,-32.2557,-1416.1571,-38.7163,-1364.5158,160,23,19.0629,210,22.4334,21.8445,498.8703,733.6616,272.2536,616.9861,499.7243,569.8522,3.3189,1.6592,2.9423,0.0,18620.6941,8880.6636,14.4127,10563.5704,24484.6125,12.9843,74.86,-9.9904,-8.3246,371.0417,-1.6044,-14.5464,23559.1529,19969.241,8193.3805,-7.0864,956.619,490.0332,-11.1745,71.2688,1
124,0.0,23.6721,1238,7.8468,499.0556,36239.3749,25428.8171,11494.7889,1255.3647,448.9705,1294.1418,13659.1718,25592.3274,575.2222,1267.1053,28.0609,494.2222,34754.5197,27.6642,-360.3071,-17.4732,-125.414,4.4669,1512.3738,65.268,206.8721,-2.5536,14.3597,10.6144,22.8122,10.4665,13.8747,1326.0489,12.1547,12760.1317,541.1111,38829.8539,25.039,664.08,1028.4035,217.0022,556.3567,7654.1918,162.6035,219.3852,4.8334,337.5011,395.7014,301.3624,209.2536,9.1879,243.4961,-19.0223,3240,-18.1686,11.2508,0.0,224.45,25862.8668,10965.0163,16.0062,252.7314,-482.1549,24.0555,39095.5754,5.3931,-28.0086,13226.6446,5489,547.212,462.1849,86.3167,5.0944,153.3969,639,28.6872,-2.1447,-0.7465,709.7827,0.0,2892.5051,1904.6839,100.1915,13.8057,-537.0768,4.8903,-102.5614,411.7833,400.793,495.3713,405.7624,306.1828,0.0,0.0,32641.3373,413.0,16900.3322,780,-3.186,-218.2909,12.7573,-241.3395,-153.0687,7,25.4663,498.3431,321.7178,169.4289,-471.6733,11.5216,37788.5407,492.8889,1191.2602,23585.9746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.1389,16494.5596,9680.0386,6530.9376,21,197.9235,254.9821,326.0408,361.1602,359.1602,-4.4218,-447.7758,-9.7783,-243.3554,287,33,24.8532,499,26.0089,24.9001,435.1904,568.8621,429.1253,434.07,435.1988,435.2533,-0.6141,1.7093,12.5344,4.8334,21126.6135,9886.7365,14.9323,11729.35,26636.8585,11.2508,93.63,-6.8103,-4.4988,498.2778,-5.488,-3.3072,37514.8766,26159.535,11895.9321,-7.0208,1291.355,612.2241,-8.7292,87.0831,1
136,0.0,23.1296,1211,9.6514,554.7778,31924.488,23108.0157,11030.0097,1187.3539,444.7941,1232.4872,12449.8484,24151.5702,558.5556,1056.1569,21.8099,447.8611,27799.1208,26.5095,-481.4656,7.4029,-382.7358,4.2335,1345.7411,68.1523,204.4053,-8.5109,7.1635,12.6917,23.7134,11.8821,23.509,1186.4964,14.1183,12784.3561,587.7222,34551.882,27.8297,543.07,918.4256,212.8299,532.1524,7269.2702,146.2045,233.549,4.0984,329.5955,411.3557,297.4009,-440.4313,-0.793,-13.2043,-19.4675,2621,36.5053,0.0,0.0,230.3459,21060.9408,9268.7177,15.999,198.167,-100.7183,-2.1384,34233.2388,150.9241,-8.7971,12237.2833,4952,589.8832,450.3664,52.1484,-3.7558,148.8811,507,46.7962,-3.5402,-2.8142,670.8307,0.0,2937.6544,1970.9009,89.6891,-40.0184,-821.3337,-15.8368,-848.9465,409.5683,412.0445,499.5358,382.9813,300.4906,0.0,0.0,30242.635,371.5,16369.7851,581,-2.3517,-330.2362,-9.6623,-214.4907,823.3408,7,24.613,550.615,376.404,161.7429,601.4014,16.0281,33996.9408,482.7222,1122.8754,21510.3331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.8889,15804.9655,9475.3443,6311.0374,13,202.0005,261.4104,321.4104,349.0201,351.0201,2.8765,153.1742,-2.003,216.3456,238,23,23.9405,406,26.6017,24.2804,494.9768,916.8519,463.4031,505.5972,495.0431,495.0622,-5.6596,1.4652,4.3614,4.0984,20132.8693,9478.8725,14.7578,10942.3535,23017.3496,13.8354,81.87,-3.1961,-2.8205,580.8611,-3.6566,-2.4659,34331.7074,22354.4202,12535.7799,-3.0625,1169.6844,575.5537,-3.0185,82.1491,1
145,5.3726,25.733,1064,18.8149,525.0185,32844.3968,25171.3099,12792.763,1248.6009,478.4641,1256.3498,15496.1398,24571.8024,556.0123,1287.7034,9.2923,517.1296,32722.6878,27.4216,859.1247,15.0583,90.2572,18.6761,1121.8621,75.4071,195.9442,-6.6476,4.8881,22.0848,20.4089,9.1843,17.7983,1342.7329,13.7861,15336.6316,631.3152,34237.319,40.7038,454.11,816.4534,205.2775,511.1514,8110.7305,150.5027,213.8568,0.0,498.0503,385.6863,263.2362,-14.7448,-6.282,-14.0829,-4.5568,1931,-20.7442,0.0,0.0,205.0139,26588.3763,12592.9938,31.9731,245.9061,860.0228,10.3027,35442.6381,1057.3796,-8.9416,14658.0574,4816,547.5118,633.545,33.7023,-13.1479,223.1224,316,45.0032,5.1445,0.5405,560.931,0.0,3146.531,3145.989,109.5882,0.2807,-787.4477,-34.3853,-563.4732,370.8016,410.7036,515.0799,366.5829,291.2116,0.0,0.0,29485.7766,356.8241,17550.1114,354,-42.5464,-1262.3103,-37.4276,-1591.9825,567.1291,7,24.5202,537.6568,733.7819,164.32,334.3018,73.1482,34233.1356,462.7623,1090.5481,21107.9069,0.0,7.1838,5.3726,5.8061,0.0,0.6415,-0.6114,301.2291,15907.095,10026.7195,8064.5484,8,245.9424,294.3906,339.9394,351.5491,351.5491,-57.3319,-421.0434,3.5684,-1320.2964,195,23,22.9361,277,25.5164,23.8567,861.3064,694.1346,358.1894,453.5518,861.5758,547.6973,-3.5217,-2.1275,7.2792,0.0,19802.3857,9901.1855,164.3709,12813.182,26957.7378,12.8912,151.22,-23.6423,-10.8199,498.0432,-2.0825,-10.4498,32933.9483,23949.2157,12435.3472,-4.6699,1209.3272,6410.4648,-6.0074,80.6719,0
26,0.8764,34.175,1783,81.3877,445.4444,21594.8866,16343.8371,9290.6868,826.5011,445.108,988.2761,10702.3555,19127.4815,575.8056,724.5646,11.7073,356.4444,18867.8826,28.794,21.2129,-28.2326,-332.5936,-24.4792,1333.943,84.1509,211.9987,-27.4846,12.4311,18.9679,14.7953,28.58,18.1702,921.7199,62.9889,9043.6538,420.6111,23933.2725,47.4317,582.14,998.1833,215.9489,778.5257,7927.1354,152.7576,224.0926,3.9406,376.2737,707.627,410.5822,-530.6649,-27.6616,-525.9339,18.073,1656,-33.5622,0.0,0.0,208.1154,14603.8295,7489.4321,16.0067,124.2264,-329.8743,3.8612,26918.8564,-36.1373,12.7834,11660.7585,7934,878.2035,481.7336,87.2254,6.9162,54.0785,256,67.6427,0.2383,-3.737,666.9715,0.0,2295.0065,1744.7434,102.349,3.8206,7.5631,-38.0552,97.8773,522.2109,508.4817,728.7319,614.0481,303.8564,0.0,11.8033,28899.8223,439.6111,15418.2485,265,17.8579,-31.5898,-13.0946,413.3285,417.9776,11,33.0986,2645.5359,3418.2837,155.0331,-7.3404,-12.2295,29224.4106,533.8889,1000.3606,19063.6964,0.0,0.0,30.326,0.0,11.0109,0.0,3.7806,388.9167,15600.6712,9311.5526,7161.0288,9,204.1732,248.5436,285.7629,311.7629,319.7629,-22.467,-562.7873,24.2713,-878.3285,168,42,29.7796,232,27.8773,28.313,796.6505,763.1489,1200.3613,846.566,796.6002,795.7857,0.9788,1.3426,0.462,7.7704,19446.8067,9540.8782,17.6762,11909.4982,18469.2254,11.7595,186.08,-14.7021,-14.4655,431.25,-14.0518,-14.5907,22857.4464,16224.1883,9603.6824,-14.9565,832.4648,742.3994,-16.2697,87.6559,0
147,0.85,20.757,894,13.1791,507.6389,25489.7145,23726.7821,8041.0249,1134.0108,416.1232,1419.6284,11092.7212,30137.3624,591.7222,959.0551,11.7764,397.5,22852.4993,24.0348,-794.0695,12.1998,-275.3941,-14.5015,911.5707,55.9288,179.9409,-8.1455,5.7245,33.5359,10.9834,37.8268,29.2085,1256.377,37.5703,9847.7164,588.7778,29281.4599,38.9156,322.08,663.9995,172.2278,424.344,6248.323,131.2339,179.2061,4.6271,268.19,376.8854,255.2041,-850.1058,-15.3701,-487.324,-33.146,1387,-12.3823,0.0,0.0,184.1601,19985.9054,7102.9583,15.9969,171.1241,136.5113,15.7891,31667.075,593.8043,-10.4671,10892.8695,3511,499.8618,361.3096,60.7147,-7.7324,122.462,204,47.8168,-6.2525,-2.1685,455.7853,0.0,3021.077,2095.4251,95.008,-8.0158,112.3618,17.9505,-137.8792,335.3929,318.8642,443.195,322.2451,270.2825,0.0,0.0,26824.49,348.0833,17601.9896,217,-5.6186,-275.0814,3.6603,-176.5912,-778.1492,3,24.3188,1277.3914,448.0882,136.4919,-1201.3725,28.9471,31816.3893,492.4583,1233.4785,25194.3895,0.0,6.3205,12.4857,5.5787,8.8466,0.54,0.0,287.3403,13716.4437,9901.984,5527.1851,7,224.4426,277.7359,303.7359,316.4908,322.4908,-20.1042,749.2467,-2.9727,910.4807,151,24,24.3419,188,23.4628,24.4057,1140.2189,993.0881,1286.1117,1310.4743,1137.4254,1118.4076,-0.9316,1.2677,0.555,4.6271,17568.3599,9574.2638,22.017,9703.883,25981.8769,12.6053,96.33,-7.0375,-7.2858,485.7222,-4.7522,-6.8588,27418.5409,24346.7902,8697.3237,-6.7227,1164.5196,748.5782,-12.32,70.002,0
152,5.0383,22.9255,1010,13.2655,534.3333,36033.5874,33515.5223,11319.1749,1579.2668,454.1985,1544.954,11517.1922,33076.4357,513.6667,1645.5486,23.3278,538.7778,35960.379,25.3548,-744.6582,-14.4704,-417.9213,-47.7673,855.9635,49.3828,164.2026,-6.7437,4.249,12.4525,10.4134,11.0845,17.9605,1595.5204,12.6644,12369.0385,554.6389,36589.1451,13.5231,432.09,548.205,174.9203,474.1945,6979.9679,144.6195,171.7318,4.5205,298.2652,372.2317,272.3904,-72.276,1.7582,-16.6566,-2.4123,1781,4.5244,0.0,9.6712,175.0677,35298.9482,10814.8361,15.9959,273.2348,-51.2236,14.1166,35588.0961,182.6288,-6.8673,10978.9663,4207,533.7639,424.8366,67.2461,-0.9138,191.3096,305,32.9544,-3.4003,-1.9083,427.9818,0.0,3479.0827,2392.2461,109.6774,-28.8746,-700.8247,14.6143,-930.8524,391.8429,377.4321,485.16,326.6794,261.3836,9.6712,0.0,29907.3113,361.1389,21139.3693,341,-20.2847,-600.0871,23.5913,-888.6522,-224.7633,6,22.7539,468.582,490.8239,147.5617,221.1707,-34.1757,34366.6173,459.0556,1421.7175,30151.0827,0.0,1.249,5.0383,0.8609,0.0,1.9711,0.8723,245.2778,15020.2176,11502.1075,5958.2338,7,257.0079,333.54,373.54,380.2949,378.2949,-18.7418,114.3772,-7.7917,-99.8321,176,11,22.2609,257,24.0466,22.8712,460.741,664.5373,410.1256,483.6681,460.6805,460.2863,-4.5187,1.9823,0.4418,13.0207,19603.7701,11166.9261,14.4147,10273.8738,34154.8685,13.5231,99.41,-4.8387,-3.3597,592.7222,-4.9294,-2.9783,36235.4124,35095.6717,12091.8247,-5.2907,1640.7559,533.3445,-4.7528,77.1813,0
159,0.528,22.5636,1016,12.0294,542.3333,26217.9089,25649.4375,8833.086,1225.3752,457.9947,1611.1469,14440.5598,32174.6746,1005.75,1095.0244,9.7725,454.1389,22062.1317,26.6455,920.5673,-32.9487,391.5318,1.9157,1004.4915,51.2041,155.3671,-10.2423,3.5293,13.3749,11.9738,33.1285,12.1201,1495.6301,12.8285,11995.2473,648.7917,35898.4612,76.293,349.12,705.8908,165.9361,477.7631,6904.6197,130.4974,150.7892,0.0,317.4352,386.5226,293.4402,-520.3528,-9.058,346.8961,-76.3531,1949,-19.009,0.0,0.0,186.0024,23546.8351,7270.9864,16.0067,160.9913,825.7944,19.2073,37639.8113,621.6541,44.5746,13735.5571,4285,531.6607,432.1725,-73.5788,-34.6543,114.2657,325,86.2906,6.4829,2.7573,501.9389,0.0,2919.6901,2273.6003,97.8071,-11.7182,-920.8692,-25.6572,-375.4737,390.9593,378.776,479.5925,361.2169,267.5668,0.0,0.0,28155.8606,408.4028,18955.1668,362,-68.8905,1285.7421,30.9952,-1.774,-2665.7271,3,22.8016,474.655,445.0896,129.9881,-1308.1451,-87.741,35911.9868,606.5278,1310.9959,25849.6312,6.2335,0.0,15.3607,11.6151,4.7734,0.8243,20.7062,427.8681,14154.3296,10357.8659,6346.005,8,246.4107,322.304,339.0589,341.0589,341.0589,88.9818,-869.5487,64.0745,-83.7524,208,18,26.3119,280,22.5914,23.0395,494.8723,448.444,1225.7538,506.1768,494.8924,495.0231,-2.3764,0.8617,2.8761,0.0,17926.9754,10017.9094,18.3034,10915.5907,30299.1252,11.9333,139.44,-5.647,-4.4722,693.3056,-9.1337,-4.1419,31665.7222,35169.8413,10249.0235,-5.9609,1634.4715,677.2244,-4.3836,75.56,0
